Date,Open,High,Low,Close,Adj Close,Volume
2017-12-11,94.779999,94.940002,94.529999,94.529999,84.661911,106900
2017-12-12,94.500000,94.559998,94.160004,94.459999,84.599243,67900
2017-12-13,94.860001,95.230003,94.720001,95.169998,85.235107,97100
2017-12-14,95.050003,95.529999,94.860001,95.480003,85.512764,88400
2017-12-15,95.500000,95.980003,95.389999,95.760002,85.763535,95500
2017-12-18,95.730003,95.730003,95.029999,95.160004,85.226151,125700
2017-12-19,94.699997,94.769997,93.949997,94.199997,84.366364,120700
2017-12-20,93.500000,93.800003,93.339996,93.489998,83.730453,143300
2017-12-21,93.660004,94.160004,93.580002,94.059998,84.240997,201600
2017-12-22,93.980003,94.089996,93.919998,94.010002,84.196205,94200
2017-12-26,93.889999,94.250000,93.879997,94.059998,84.504364,239900
2017-12-27,94.589996,95.190002,94.360001,95.010002,85.357872,128100
2017-12-28,94.889999,95.070000,94.709999,94.769997,85.142227,286600
2017-12-29,94.830002,95.190002,94.830002,95.080002,85.420746,91200
2018-01-02,94.879997,94.879997,93.830002,94.180000,84.612183,370200
2018-01-03,94.440002,94.589996,94.150002,94.529999,84.926598,147000
2018-01-04,94.379997,94.699997,94.180000,94.620003,85.007469,119600
2018-01-05,94.550003,94.639999,94.139999,94.400002,84.809822,113100
2018-01-08,94.599998,94.599998,94.110001,94.379997,84.791855,127300
2018-01-09,94.000000,94.000000,93.449997,93.470001,83.974297,164300
2018-01-10,92.930000,93.660004,92.760002,93.570000,84.064133,498700
2018-01-11,93.500000,94.099998,93.379997,94.000000,84.450447,415100
2018-01-12,93.720001,94.230003,93.669998,94.169998,84.603188,126100
2018-01-16,94.500000,94.500000,94.089996,94.339996,84.755905,146900
2018-01-17,94.419998,94.550003,93.959999,94.160004,84.594223,139400
2018-01-18,93.519997,93.730003,93.400002,93.529999,84.028214,136900
2018-01-19,93.269997,93.300003,92.980003,93.000000,83.552025,187800
2018-01-22,93.169998,93.349998,92.949997,93.050003,83.596947,128200
2018-01-23,93.440002,93.690002,93.150002,93.510002,84.010239,199000
2018-01-24,93.070000,93.139999,92.790001,93.099998,83.641891,134700
2018-01-25,93.230003,93.940002,93.080002,93.919998,84.378578,167400
2018-01-26,93.839996,93.839996,93.320000,93.629997,84.118034,162200
2018-01-29,93.260002,93.300003,92.870003,93.230003,83.758690,175200
2018-01-30,92.860001,92.889999,92.440002,92.720001,83.300491,135800
2018-01-31,93.129997,93.339996,92.650002,93.019997,83.569992,747300
2018-02-01,92.650002,92.730003,91.760002,91.809998,82.729301,1012000
2018-02-02,91.269997,91.529999,90.889999,91.150002,82.134575,853000
2018-02-05,90.629997,92.190002,90.360001,91.570000,82.513039,568800
2018-02-06,91.059998,91.410004,90.739998,90.959999,81.963371,1361100
2018-02-07,90.989998,91.339996,90.230003,90.410004,81.467796,271600
2018-02-08,89.910004,90.410004,89.750000,90.089996,81.179420,195700
2018-02-09,89.699997,89.870003,89.250000,89.370003,80.530624,348600
2018-02-12,89.750000,90.169998,89.510002,89.660004,80.791962,894100
2018-02-13,89.660004,89.800003,89.419998,89.720001,80.846024,149000
2018-02-14,89.410004,89.639999,89.059998,89.190002,80.368431,145300
2018-02-15,89.510002,89.989998,89.510002,89.639999,80.773926,114600
2018-02-16,90.000000,90.250000,89.769997,89.980003,81.080299,510500
2018-02-20,89.680000,89.800003,89.410004,89.559998,80.701836,91000
