Date,Open,High,Low,Close,Adj Close,Volume
2017-12-11,2.750000,2.980000,2.750000,2.840000,2.840000,388300
2017-12-12,2.890000,2.890000,2.700000,2.770000,2.770000,151000
2017-12-13,2.790000,2.800000,2.710000,2.780000,2.780000,153900
2017-12-14,2.780000,2.800000,2.690000,2.700000,2.700000,177900
2017-12-15,2.720000,2.760000,2.640000,2.680000,2.680000,171900
2017-12-18,2.680000,2.700000,2.630000,2.690000,2.690000,91600
2017-12-19,2.670000,2.670000,2.550000,2.570000,2.570000,209700
2017-12-20,2.550000,2.596000,2.500000,2.510000,2.510000,193500
2017-12-21,2.500000,2.700000,2.500000,2.650000,2.650000,131000
2017-12-22,2.690000,2.720000,2.600000,2.660000,2.660000,87600
2017-12-26,2.650000,2.700000,2.601000,2.650000,2.650000,65100
2017-12-27,2.700000,2.750000,2.580000,2.620000,2.620000,181600
2017-12-28,2.590000,2.700000,2.570000,2.680000,2.680000,137800
2017-12-29,2.700000,2.710000,2.560000,2.560000,2.560000,190700
2018-01-02,2.590000,2.850000,2.550000,2.760000,2.760000,858300
2018-01-03,3.050000,3.300000,2.650000,2.840000,2.840000,1975500
2018-01-04,2.870000,2.970000,2.700000,2.870000,2.870000,407700
2018-01-05,2.880000,2.880000,2.740000,2.760000,2.760000,195800
2018-01-08,2.890000,3.030000,2.780000,2.930000,2.930000,860400
2018-01-09,2.990000,2.990000,2.750000,2.840000,2.840000,346000
2018-01-10,2.840000,2.890000,2.750000,2.890000,2.890000,224600
2018-01-11,2.900000,2.970000,2.830000,2.970000,2.970000,277600
2018-01-12,2.990000,2.990000,2.720000,2.752000,2.752000,345600
2018-01-16,2.790000,2.834000,2.700000,2.780000,2.780000,219200
2018-01-17,2.800000,2.820000,2.720000,2.750000,2.750000,106400
2018-01-18,2.720000,2.760000,2.680000,2.680000,2.680000,162400
2018-01-19,2.680000,2.850000,2.650000,2.850000,2.850000,570500
2018-01-22,2.830000,2.920000,2.800000,2.820000,2.820000,249400
2018-01-23,2.840000,2.850000,2.760000,2.810000,2.810000,192300
2018-01-24,3.000000,3.280000,2.850000,3.180000,3.180000,2012300
2018-01-25,3.280000,3.450000,3.170000,3.220000,3.220000,775800
2018-01-26,3.220000,3.400000,3.220000,3.350000,3.350000,346000
2018-01-29,3.360000,3.380000,3.010000,3.230000,3.230000,438900
2018-01-30,3.250000,3.340000,3.050000,3.090000,3.090000,326300
2018-01-31,3.140000,3.170000,3.030000,3.040000,3.040000,179400
2018-02-01,3.210000,3.239000,2.880000,3.050000,3.050000,372800
2018-02-02,3.010000,3.024000,2.900000,2.980000,2.980000,126200
2018-02-05,2.950000,2.950000,2.820000,2.910000,2.910000,170500
2018-02-06,2.860000,2.940000,2.750000,2.860000,2.860000,202800
2018-02-07,2.850000,2.925000,2.800000,2.840000,2.840000,147800
2018-02-08,2.840000,2.860000,2.770000,2.840000,2.840000,169900
2018-02-09,2.850000,2.870000,2.676000,2.820000,2.820000,169000
2018-02-12,2.790000,2.860000,2.750000,2.810000,2.810000,94900
2018-02-13,2.820000,2.943000,2.790000,2.890000,2.890000,104100
2018-02-14,2.860000,2.980000,2.860000,2.950000,2.950000,63200
2018-02-15,2.970000,2.990000,2.880000,2.930000,2.930000,99200
2018-02-16,2.930000,2.940000,2.880000,2.910000,2.910000,30800
2018-02-20,2.860000,2.939000,2.790000,2.790000,2.790000,90900
2018-02-21,2.800000,2.930000,2.800000,2.870000,2.870000,60800
2018-02-22,3.310000,3.310000,2.970000,3.160000,3.160000,2852800
2018-02-23,3.210000,3.230000,3.050000,3.190000,3.190000,559400
2018-02-26,3.230000,3.250000,3.130000,3.210000,3.210000,203100
2018-02-27,3.230000,3.230000,3.150000,3.200000,3.200000,181200
2018-02-28,3.230000,3.297000,3.166000,3.210000,3.210000,320300
2018-03-01,3.200000,3.238000,3.121000,3.190000,3.190000,117900
2018-03-02,3.200000,3.202000,3.090000,3.150000,3.150000,101300
2018-03-05,3.160000,3.160000,2.980000,3.000000,3.000000,120200
2018-03-06,2.980000,3.200000,2.980000,3.140000,3.140000,154600
2018-03-07,3.110000,3.126000,2.970000,2.980000,2.980000,302300
2018-03-08,2.980000,3.110000,2.810000,2.890000,2.890000,307500
2018-03-09,2.950000,3.000000,2.840000,2.890000,2.890000,240500
2018-03-12,2.860000,2.923000,2.821000,2.840000,2.840000,162800
2018-03-13,2.860000,2.923000,2.850000,2.870000,2.870000,351800
2018-03-14,2.930000,2.940000,2.860000,2.890000,2.890000,259300
2018-03-15,2.950000,2.966000,2.800000,2.820000,2.820000,347900
2018-03-16,2.840000,2.890000,2.780000,2.850000,2.850000,210600
2018-03-19,2.880000,2.900000,2.750000,2.770000,2.770000,195400
2018-03-20,2.800000,2.860000,2.750000,2.760000,2.760000,317600
2018-03-21,2.780000,2.780000,2.700000,2.700000,2.700000,201600
2018-03-22,2.700000,2.760000,2.600000,2.740000,2.740000,213900
2018-03-23,2.740000,2.870000,2.705000,2.830000,2.830000,197500
2018-03-26,2.870000,2.930000,2.620000,2.710000,2.710000,264600
2018-03-27,2.720000,2.720000,2.600000,2.620000,2.620000,183600
2018-03-28,2.600000,2.660000,2.500000,2.560000,2.560000,206300
2018-03-29,2.600000,2.660000,2.520000,2.640000,2.640000,77500
2018-04-02,2.680000,2.719000,2.590000,2.610000,2.610000,84200
2018-04-03,2.550000,2.690000,2.550000,2.580000,2.580000,128200
2018-04-04,2.560000,2.659000,2.550000,2.590000,2.590000,77500
2018-04-05,2.610000,2.690000,2.600000,2.660000,2.660000,67500
2018-04-06,2.680000,2.680000,2.600000,2.610000,2.610000,46400
2018-04-09,2.630000,2.650000,2.590000,2.600000,2.600000,64100
2018-04-10,2.610000,2.640000,2.580000,2.600000,2.600000,139100
2018-04-11,2.600000,2.643000,2.580000,2.580000,2.580000,83900
2018-04-12,2.600000,2.630000,2.580000,2.610000,2.610000,66900
2018-04-13,2.630000,2.720000,2.600000,2.700000,2.700000,97200
2018-04-16,2.740000,2.759000,2.680000,2.740000,2.740000,57200
2018-04-17,2.740000,2.830000,2.740000,2.800000,2.800000,100800
2018-04-18,2.870000,2.870000,2.740000,2.870000,2.870000,81300
2018-04-19,2.900000,2.900000,2.790000,2.890000,2.890000,47700
2018-04-20,2.910000,2.950000,2.860000,2.920000,2.920000,166700
2018-04-23,2.950000,2.959000,2.830000,2.830000,2.830000,88700
2018-04-24,2.890000,2.890000,2.680000,2.690000,2.690000,88500
2018-04-25,2.690000,2.768000,2.680000,2.700000,2.700000,64600
2018-04-26,2.720000,2.750000,2.700000,2.730000,2.730000,55400
2018-04-27,2.750000,2.815000,2.720000,2.800000,2.800000,57500
2018-04-30,2.820000,2.850000,2.780000,2.840000,2.840000,62800
2018-05-01,2.900000,2.900000,2.810000,2.850000,2.850000,73200
2018-05-02,2.870000,2.950000,2.860000,2.940000,2.940000,130900
2018-05-03,2.960000,2.960000,2.900000,2.905000,2.905000,50200
2018-05-04,2.960000,3.090000,2.910000,3.010000,3.010000,278900
2018-05-07,3.100000,3.110000,2.910000,3.040000,3.040000,190200
2018-05-08,3.000000,3.060000,2.970000,2.990000,2.990000,69200
2018-05-09,2.990000,3.050000,2.910000,3.030000,3.030000,82700
2018-05-10,2.880000,3.060000,2.744000,2.750000,2.750000,248900
2018-05-11,2.820000,2.838000,2.700000,2.750000,2.750000,141100
2018-05-14,2.750000,2.760000,2.710000,2.750000,2.750000,123400
2018-05-15,2.720000,2.755000,2.710000,2.720000,2.720000,76300
2018-05-16,2.730000,2.750000,2.710000,2.710000,2.710000,73300
2018-05-17,2.710000,2.810000,2.710000,2.750000,2.750000,168300
2018-05-18,2.750000,2.758000,2.720000,2.740000,2.740000,61800
2018-05-21,2.750000,2.760000,2.620000,2.620000,2.620000,189400
2018-05-22,2.630000,2.670000,2.610000,2.650000,2.650000,166600
2018-05-23,2.630000,2.650000,2.600000,2.610000,2.610000,106100
2018-05-24,2.600000,2.615000,2.580000,2.595000,2.595000,156800
2018-05-25,2.580000,2.630000,2.520000,2.570000,2.570000,149300
2018-05-29,2.600000,2.680000,2.600000,2.650000,2.650000,214300
2018-05-30,2.650000,2.710000,2.600000,2.680000,2.680000,223000
2018-05-31,2.750000,2.840000,2.600000,2.610000,2.610000,433500
2018-06-01,2.610000,2.630000,2.580000,2.620000,2.620000,147000
2018-06-04,2.600000,2.619000,2.570000,2.570000,2.570000,113400
2018-06-05,2.560000,2.630000,2.360000,2.500000,2.500000,559600
2018-06-06,2.530000,2.550000,2.430000,2.470000,2.470000,246200
2018-06-07,2.650000,2.650000,2.440000,2.530000,2.530000,121500
2018-06-08,2.520000,2.560000,2.410000,2.410000,2.410000,174200
2018-06-11,2.420000,2.479000,2.280000,2.380000,2.380000,307700
2018-06-12,2.400000,2.400000,2.280000,2.300000,2.300000,200900
2018-06-13,2.300000,2.350000,2.270000,2.280000,2.280000,280400
2018-06-14,2.300000,2.450000,1.990000,2.080000,2.080000,1615600
2018-06-15,2.130000,2.270000,2.050000,2.230000,2.230000,451200
2018-06-18,2.250000,2.250000,2.170000,2.180000,2.180000,330800
2018-06-19,2.180000,2.180000,1.980000,2.000000,2.000000,646400
2018-06-20,2.130000,2.170000,2.050000,2.090000,2.090000,296600
2018-06-21,2.190000,2.190000,2.030000,2.060000,2.060000,171000
2018-06-22,2.070000,2.089000,1.880000,1.980000,1.980000,475700
2018-06-25,1.980000,2.005000,1.860000,2.000000,2.000000,246300
2018-06-26,2.020000,2.020000,1.900000,1.940000,1.940000,318400
2018-06-27,1.970000,1.970000,1.850000,1.870000,1.870000,291300
2018-06-28,1.870000,1.870000,1.500000,1.540000,1.540000,989600
2018-06-29,1.520000,1.830000,1.520000,1.820000,1.820000,479000
2018-07-02,1.820000,1.820000,1.750000,1.810000,1.810000,157500
2018-07-03,1.810000,1.840000,1.750000,1.760000,1.760000,78000
2018-07-05,1.760000,1.800000,1.663000,1.700000,1.700000,191700
2018-07-06,1.700000,1.710000,1.570000,1.600000,1.600000,231400
2018-07-09,1.570000,1.750000,1.500000,1.740000,1.740000,510400
2018-07-10,1.760000,1.780000,1.510000,1.510000,1.510000,778100
2018-07-11,1.550000,1.550000,1.480000,1.500000,1.500000,345900
2018-07-12,1.500000,1.540000,1.391000,1.520000,1.520000,723400
2018-07-13,1.580000,1.580000,1.500000,1.540000,1.540000,417000
2018-07-16,1.520000,1.576000,1.470000,1.470000,1.470000,212100
2018-07-17,1.480000,1.510000,1.470000,1.500000,1.500000,286000
2018-07-18,1.510000,1.510000,1.470000,1.490000,1.490000,119100
2018-07-19,1.470000,1.509000,1.450000,1.490000,1.490000,137200
2018-07-20,1.510000,1.570000,1.470000,1.500000,1.500000,230400
2018-07-23,1.500000,1.520000,1.420000,1.470000,1.470000,164600
2018-07-24,1.480000,1.480000,1.420000,1.440000,1.440000,156300
2018-07-25,1.430000,1.464000,1.430000,1.440000,1.440000,87600
2018-07-26,1.460000,1.489000,1.430000,1.440000,1.440000,131400
2018-07-27,1.460000,1.486000,1.430000,1.430000,1.430000,114300
2018-07-30,1.460000,1.600000,1.440000,1.495000,1.495000,530100
2018-07-31,1.520000,1.540000,1.430000,1.490000,1.490000,244100
2018-08-01,1.510000,1.510000,1.430000,1.460000,1.460000,72200
2018-08-02,1.480000,1.530000,1.460000,1.530000,1.530000,106800
2018-08-03,1.550000,1.620000,1.510000,1.570000,1.570000,218700
2018-08-06,1.650000,1.650000,1.480000,1.510000,1.510000,395800
2018-08-07,1.430000,1.511000,1.320000,1.330000,1.330000,370000
2018-08-08,1.350000,1.350000,1.240000,1.250000,1.250000,394200
2018-08-09,1.100000,1.120000,1.060000,1.100000,1.100000,1533400
2018-08-10,1.110000,1.150000,1.101000,1.130000,1.130000,621400
2018-08-13,1.130000,1.230000,1.130000,1.200000,1.200000,892400
2018-08-14,1.230000,1.250000,1.180000,1.190000,1.190000,743100
2018-08-15,1.200000,1.209000,1.110000,1.150000,1.150000,289800
2018-08-16,1.180000,1.180000,1.120000,1.150000,1.150000,292800
2018-08-17,1.160000,1.180000,1.120000,1.150000,1.150000,193200
2018-08-20,1.170000,1.170000,1.120000,1.140000,1.140000,331200
2018-08-21,1.130000,1.150000,1.110000,1.120000,1.120000,394200
2018-08-22,1.110000,1.110000,1.020000,1.040000,1.040000,470400
2018-08-23,1.040000,1.080000,1.036000,1.050000,1.050000,205700
2018-08-24,1.070000,1.080000,1.040000,1.040000,1.040000,183100
2018-08-27,1.040000,1.070000,0.910000,0.944000,0.944000,513100
2018-08-28,0.950000,1.029000,0.932000,0.972000,0.972000,406900
2018-08-29,1.000000,1.030000,0.978000,1.020000,1.020000,146500
2018-08-30,1.030000,1.030000,1.000000,1.000000,1.000000,102900
2018-08-31,1.010000,1.020000,1.000000,1.020000,1.020000,178200
2018-09-04,1.030000,1.080000,1.010000,1.080000,1.080000,258000
2018-09-05,1.080000,1.240000,1.050000,1.240000,1.240000,495100
2018-09-06,1.250000,1.250000,1.130000,1.200000,1.200000,279600
2018-09-07,1.200000,1.219000,1.120000,1.200000,1.200000,149000
2018-09-10,1.200000,1.230000,1.100000,1.100000,1.100000,174400
2018-09-11,1.110000,1.170000,1.080000,1.090000,1.090000,85800
2018-09-12,1.100000,1.150000,1.060000,1.150000,1.150000,150000
2018-09-13,1.150000,1.150000,1.070000,1.130000,1.130000,127100
2018-09-14,1.120000,1.150000,1.090000,1.130000,1.130000,136300
2018-09-17,1.140000,1.150000,1.069000,1.110000,1.110000,169700
2018-09-18,1.120000,1.140000,1.050000,1.070000,1.070000,69400
2018-09-19,1.070000,1.134000,1.050000,1.090000,1.090000,93900
2018-09-20,1.100000,1.140000,1.090000,1.110000,1.110000,100900
2018-09-21,1.120000,1.130000,1.070000,1.070000,1.070000,105900
2018-09-24,1.070000,1.120000,1.060000,1.120000,1.120000,91900
2018-09-25,1.100000,1.200000,1.090000,1.130000,1.130000,293800
2018-09-26,1.150000,1.174000,1.070000,1.110000,1.110000,223900
2018-09-27,1.100000,1.100000,1.070000,1.070000,1.070000,155000
2018-09-28,1.100000,1.130000,1.060000,1.070000,1.070000,83300
2018-10-01,1.150000,1.150000,1.070000,1.090000,1.090000,190900
